mid,question,cid,contract,option
2918,Will Elizabeth Warren be re-elected?,5264,Will Elizabeth Warren be re-elected to the U.S. Senate in Massachusetts in 2018?,Will Elizabeth Warren be re-elected?
2928,Will Ted Cruz be re-elected?,5313,Will Ted Cruz be re-elected to the U.S. Senate in Texas in 2018?,Will Ted Cruz be re-elected?
2940,Will Bernie Sanders be re-elected?,5368,Will Bernie Sanders be re-elected to the U.S. Senate in Vermont in 2018?,Will Bernie Sanders be re-elected?
2941,Will Joe Manchin be re-elected?,5369,Will Joe Manchin be re-elected to the U.S. Senate in West Virginia in 2018?,Will Joe Manchin be re-elected?
2998,Will Joe Donnelly be re-elected?,5563,Will Joe Donnelly be re-elected to the U.S. Senate in Indiana in 2018?,Will Joe Donnelly be re-elected?
2999,Will Bill Nelson be re-elected?,5564,Will Bill Nelson be re-elected to the U.S. Senate in Florida in 2018?,Will Bill Nelson be re-elected?
3450,Will Pelosi be re-elected?,7165,Will Nancy Pelosi be re-elected to Congress in 2018?,Will Pelosi be re-elected?
3455,Will Ryan be re-elected?,7182,Will Paul Ryan be re-elected to Congress in 2018?,Will Ryan be re-elected?
3480,Will Heidi Heitkamp be re-elected?,7266,Will Heidi Heitkamp be re-elected to the U.S. Senate in North Dakota in 2018?,Will Heidi Heitkamp be re-elected?
3481,Will Jon Tester be re-elected?,7267,Will Jon Tester be re-elected to the U.S. Senate in Montana in 2018?,Will Jon Tester be re-elected?
3484,Will Claire McCaskill be re-elected?,7270,Will Claire McCaskill be re-elected to the U.S. Senate in Missouri in 2018?,Will Claire McCaskill be re-elected?
3485,Will Tammy Baldwin be re-elected?,7271,Will Tammy Baldwin be re-elected to the U.S. Senate in Wisconsin in 2018?,Will Tammy Baldwin be re-elected?
3489,Will Debbie Stabenow be re-elected?,7287,Will Debbie Stabenow be re-elected to the U.S. Senate in Michigan in 2018?,Will Debbie Stabenow be re-elected?
3490,Will Sherrod Brown be re-elected?,7288,Will Sherrod Brown be re-elected to the U.S. Senate in Ohio in 2018?,Will Sherrod Brown be re-elected?
3496,Will Bob Menendez be re-elected?,7308,Will Bob Menendez be re-elected to the U.S. Senate in New Jersey in 2018?,Will Bob Menendez be re-elected?
3497,Will Martin Heinrich be re-elected?,7309,Will Martin Heinrich be re-elected to the U.S. Senate in New Mexico in 2018?,Will Martin Heinrich be re-elected?
3503,Will Angus King be re-elected?,7332,Will Angus King be re-elected to the U.S. Senate in Maine in 2018?,Will Angus King be re-elected?
3507,Will Jeff Flake be re-elected?,7345,Will Jeff Flake be re-elected to the U.S. Senate in Arizona in 2018?,Will Jeff Flake be re-elected?
3513,Will Will Hurd be re-elected?,7351,Will Will Hurd be re-elected to Congress in 2018?,Will Will Hurd be re-elected?
3514,Will Don Bacon be re-elected?,7352,Will Don Bacon be re-elected to Congress in 2018?,Will Don Bacon be re-elected?
3520,Will Steve Knight be re-elected?,7376,Will Steve Knight be re-elected to Congress in 2018?,Will Steve Knight be re-elected?
3521,Will Darrell Issa be re-elected?,7377,Will Darrell Issa be re-elected to Congress in 2018?,Will Darrell Issa be re-elected?
3522,Will Jeff Denham be re-elected?,7378,Will Jeff Denham be re-elected to Congress in 2018?,Will Jeff Denham be re-elected?
3530,Will Mike Coffman be re-elected?,7392,Will Mike Coffman be re-elected to Congress in 2018?,Will Mike Coffman be re-elected?
3531,Will Carlos Curbelo be re-elected?,7393,Will Carlos Curbelo be re-elected to Congress in 2018?,Will Carlos Curbelo be re-elected?
3532,Will Jason Lewis be re-elected?,7394,Will Jason Lewis be re-elected to Congress in 2018?,Will Jason Lewis be re-elected?
3538,Will Barbara Comstock be re-elected?,7420,Will Barbara Comstock be re-elected to Congress in 2018?,Will Barbara Comstock be re-elected?
3539,Will Carol Shea-Porter be re-elected?,7421,Will Carol Shea-Porter be re-elected to Congress in 2018?,Will Carol Shea-Porter be re-elected?
3608,Will Dean Heller be re-elected?,7635,Will Dean Heller be re-elected to the U.S. Senate in Nevada in 2018?,Will Dean Heller be re-elected?
3736,Which party will win PA-15?,8047,Will a Republican candidate win the 2018 House of Representatives race in Pennsylvania's 15th district?,Republican
3736,Which party will win PA-15?,8048,Will a Democratic candidate win the 2018 House of Representatives race in Pennsylvania's 15th district?,Democratic
3737,Which party will win WA-08?,8051,Will a Democratic candidate win the 2018 House of Representatives race in Washington's 8th district?,Democratic
3737,Which party will win WA-08?,8049,Will a Republican candidate win the 2018 House of Representatives race in Washington's 8th district?,Republican
3738,Which party will win FL-27?,8050,Will a Democratic candidate win the 2018 House of Representatives race in Florida's 27th district?,Democratic
3738,Which party will win FL-27?,8052,Will a Republican candidate win the 2018 House of Representatives race in Florida's 27th district?,Republican
3739,Which party will win MI-11?,8053,Will a Democratic candidate win the 2018 House of Representatives race in Michigan's 11th district?,Democratic
3739,Which party will win MI-11?,8054,Will a Republican candidate win the 2018 House of Representatives race in Michigan's 11th district?,Republican
3767,Which party will win NH-01?,8155,Will a Democratic candidate win the 2018 House of Representatives race in New Hampshire's 1st district?,Democratic
3767,Which party will win NH-01?,8156,Will a Republican candidate win the 2018 House of Representatives race in New Hampshire's 1st district?,Republican
3772,Which party will win TN Senate race?,8174,Will a Republican candidate win the U.S. Senate race in Tennessee in 2018?,Republican
3772,Which party will win TN Senate race?,8173,Will a Democratic candidate win the U.S. Senate race in Tennessee in 2018?,Democratic
3812,Which party will win AZ Senate race?,8313,Will a Republican candidate win the U.S. Senate race in Arizona in 2018?,Republican
3812,Which party will win AZ Senate race?,8314,Will a Democratic candidate win the U.S. Senate race in Arizona in 2018?,Democratic
3857,Will Dianne Feinstein be re-elected?,8455,Will Dianne Feinstein be re-elected to the U.S. Senate in California in 2018?,Will Dianne Feinstein be re-elected?
3862,Which party will win NJ-02?,8469,Will a Democratic candidate win the 2018 House of Representatives race in New Jersey's 2nd district?,Democratic
3862,Which party will win NJ-02?,8470,Will a Republican candidate win the 2018 House of Representatives race in New Jersey's 2nd district?,Republican
3863,Which party will win TX-05?,8467,Will a Republican candidate win the 2018 House of Representatives race in Texas's 5th district?,Republican
3863,Which party will win TX-05?,8471,Will a Democratic candidate win the 2018 House of Representatives race in Texas's 5th district?,Democratic
3864,Which party will win TX-21?,8466,Will a Republican candidate win the 2018 House of Representatives race in Texas's 21st district?,Republican
3864,Which party will win TX-21?,8468,Will a Democratic candidate win the 2018 House of Representatives race in Texas's 21st district?,Democratic
3866,Which party will win VA-06,8481,Will a Republican candidate win the 2018 House of Representatives race in Virginia's 6th district?,Republican
3866,Which party will win VA-06,8482,Will a Democratic candidate win the 2018 House of Representatives race in Virginia's 6th district?,Democratic
3883,Which party will win TX-29?,8565,Will a Democratic candidate win the 2018 House of Representatives race in Texas's 29th district?,Democratic
3883,Which party will win TX-29?,8566,Will a Republican candidate win the 2018 House of Representatives race in Texas's 29th district?,Republican
3886,Which party will win VA-02?,8571,Will a Republican candidate win the 2018 House of Representatives race in Virginia's 2nd district?,Republican
3886,Which party will win VA-02?,8570,Will a Democratic candidate win the 2018 House of Representatives race in Virginia's 2nd district?,Democratic
3905,Will Devin Nunes be re-elected?,8645,Will Devin Nunes be re-elected to Congress in 2018?,Will Devin Nunes be re-elected?
3935,Which party will win TX-06?,8784,Will a Republican candidate win the 2018 House of Representatives race in Texas's 6th district?,Republican
3935,Which party will win TX-06?,8783,Will a Democratic candidate win the 2018 House of Representatives race in Texas's 6th district?,Democratic
3945,Will Blake Farenthold be re-elected?,8828,Will Blake Farenthold be re-elected to Congress in 2018?,Will Blake Farenthold be re-elected?
3949,Which party will win MN Senate special?,8834,Will a Democratic or Democratic-Farmer-Labor candidate win the 2018 U.S. Senate special election in Minnesota?,Democratic/DFL
3949,Which party will win MN Senate special?,8835,Will a Republican candidate win the 2018 U.S. Senate special election in Minnesota?,Republican
4015,Which party will win MD-06?,9080,Will a Democratic candidate win the 2018 House of Representatives race in Maryland's 6th district?,Democratic
4015,Which party will win MD-06?,9079,Will a Republican candidate win the 2018 House of Representatives race in Maryland's 6th district?,Republican
